[TEST] Preformance Test: findAllPollard with 8-bits primes.
[Integer to Factor]	[Elapsed Time]	[Memory Usage]	[Int Memory Usage]	[Factors]
203	0.000138998031616	704	224	7, 29
217	9.298324585e-05	704	224	7, 31
[TEST] Preformance Test: findAllPollard with 16-bits primes.
[Integer to Factor]	[Elapsed Time]	[Memory Usage]	[Int Memory Usage]	[Factors]
49403	0.000164031982422	704	224	389, 127
44833	0.00018572807312	704	224	107, 419
56387	0.000136852264404	704	224	113, 499
47167	0.000154972076416	704	224	101, 467
51641	0.000152111053467	704	224	113, 457
54737	0.000150918960571	704	224	127, 431
46561	0.000148057937622	704	224	101, 461
50467	0.000150918960571	704	224	109, 463
46331	0.000153064727783	704	224	107, 433
55753	0.000198841094971	704	224	127, 439
56839	0.000144958496094	704	224	113, 503
64643	0.000160694122314	704	224	127, 509
53213	0.000168800354004	704	224	127, 419
60833	0.000143051147461	704	224	479, 127
43531	0.00025486946106	704	224	101, 431
46763	0.000143051147461	704	224	101, 463
46217	0.000247001647949	704	224	113, 409
61849	0.000303030014038	704	224	127, 487
51253	0.000212907791138	704	224	479, 107
44581	0.000237941741943	704	224	109, 409
49187	0.000185966491699	704	224	101, 487
50419	0.000125885009766	704	224	397, 127
50927	0.000184774398804	704	224	401, 127
50803	0.000193119049072	704	224	101, 503
44329	0.000168323516846	704	224	97, 457
41309	0.00018310546875	704	224	409, 101
39673	0.00037693977356	704	224	97, 409
42479	0.000209093093872	704	224	397, 107
44743	0.000172853469849	704	224	101, 443
59309	0.000171899795532	704	224	127, 467
57023	0.0002601146698	704	224	127, 449
47627	0.000270128250122	704	224	97, 491
46979	0.000231981277466	704	224	109, 431
54391	0.000231027603149	704	224	109, 499
48791	0.000212907791138	704	224	97, 503
52109	0.000226736068726	704	224	107, 487
56261	0.000248908996582	704	224	127, 443
63373	0.000239133834839	704	224	127, 499
50737	0.000264883041382	704	224	113, 449
48703	0.000220060348511	704	224	113, 431
47347	0.002338886260986	704	224	113, 419
55483	0.000224828720093	704	224	113, 491
43957	0.002155065536499	704	224	113, 389
62357	0.000218152999878	704	224	491, 127
50249	0.000228881835938	704	224	109, 461
43157	0.00021505355835	704	224	103, 419
54991	0.000267028808594	704	224	433, 127
41303	0.000936269760132	704	224	103, 401
46157	0.000259160995483	704	224	457, 101
41807	0.000244855880737	704	224	97, 431
53393	0.000237941741943	704	224	107, 499
49541	0.00023889541626	704	224	107, 463
51943	0.000250101089478	704	224	409, 127
46247	0.000275850296021	704	224	103, 449
38509	0.000252246856689	704	224	397, 97
54127	0.000238180160522	704	224	113, 479
48403	0.000323057174683	704	224	97, 499
47401	0.000238656997681	704	224	107, 443
[TEST] Preformance Test: findAllPollard with 32-bits primes.
[Integer to Factor]	[Elapsed Time]	[Memory Usage]	[Int Memory Usage]	[Factors]
3302891093	0.003618001937866	704	256	26417, 125029
2961085739	0.001024007797241	704	256	111031, 26669
3870236791	0.000730276107788	704	256	31079, 124529
3160915273	0.000497817993164	704	256	31247, 101159
3450908651	0.000992059707642	704	256	26987, 127873
3300947743	0.003860235214233	704	256	25423, 129841
2511198461	0.000993967056274	704	256	24907, 100823
3480945463	0.001420974731445	704	256	32183, 108161
3637756867	0.00104022026062	704	256	31063, 117109
3761758103	0.003009796142578	704	256	30949, 121547
3198528493	0.001075983047485	704	256	29567, 108179
3698992049	0.000597953796387	704	256	32009, 115561
2980360717	0.00082802772522	704	256	120863, 24659
3446464531	0.000676155090332	704	256	113591, 30341
3190907009	0.002043962478638	704	256	25609, 124601
3834202949	0.000794887542725	704	256	32297, 118717
4061150879	0.001019239425659	704	256	31189, 130211
3833944573	0.000745058059692	704	256	32297, 118709
2798185763	0.000959873199463	704	256	108377, 25819
2838210209	0.000311136245728	704	256	28027, 101267
2790340699	0.000477075576782	704	256	27427, 101737
2682580051	0.000566005706787	704	256	25841, 103811
3736729207	0.000383853912354	704	256	28817, 129671
3214875809	0.000609636306763	704	256	29347, 109547
2695564583	0.000837802886963	704	256	25409, 106087
3260506159	0.000829935073853	704	256	26947, 120997
3875733839	0.003055095672607	704	256	30391, 127529
3536361391	0.000980138778687	704	256	32381, 109211
3655183673	0.000685930252075	704	256	120661, 30293
3233485741	0.000856876373291	704	256	26489, 122069
3682234883	0.001078128814697	704	256	30241, 121763
3583655659	0.000860929489136	704	256	28703, 124853
3986031359	0.000524997711182	704	256	30509, 130651
3524133901	0.001049995422363	704	256	32173, 109537
3109043761	0.000608921051025	704	256	31069, 100069
4264702847	0.000813007354736	704	256	32609, 130783
3532392323	0.001742124557495	704	256	109903, 32141
3437671973	0.000869035720825	704	256	26387, 130279
3479882369	0.000865936279297	704	256	130279, 26711
2693354269	0.000893831253052	704	256	99529, 27061
3703382443	0.001177072525024	704	256	115223, 32141
2970352969	0.000292778015137	704	256	26891, 110459
